Ticket_ID,Fecha_Apertura,Fecha_Cierre,Categoria,Prioridad,Estado,Tecnico_Asignado,Usuario_Solicitante,Costo_Reparacion_USD
TCK-1001,2026-06-13 09:00:00,2026-06-14 03:00:00,Software,Media,Cerrado,Ana Torres,José Alfonso Salgado Reyes,0.0
TCK-1002,2026-05-20 09:00:00,2026-05-21 13:00:00,Hardware,Alta,CERRADO,Carlos Mendoza,Fernando Víctor Romero Hurtado,
TCK-1003,2026-02-20 16:00:00,,Software,ALTA,Abierto, Sin Asignar ,Francia Guerrero,0.0
TCK-1004,2026-02-10 14:00:00,,Redes y Accesos,Media,En Proceso,Ana Torres,Yeny Morales,0.0
TCK-1005,2026-01-24 14:00:00,2026-01-25 13:00:00,hardware,Baja,Cerrado, Sin Asignar ,José Luis Alvarado,40.86
TCK-1006,2026-02-01 14:00:00,2026-02-03 02:00:00,Redes y Accesos,,Cerrado, Sin Asignar ,Francisco Betancur,0.0
TCK-1007,2026-02-19 09:00:00,2026-02-20 00:00:00,hardware,Baja,Cerrado,Carlos Mendoza,Hernán Hurtado,435.91
TCK-1008,2026-04-27 13:00:00,2026-04-28 13:00:00,Redes y Accesos,Media,Resuelto,carlos mendoza,Laura Cárdenas Estrada,0.0
TCK-1009,2026-06-15 09:00:00,2026-06-15 20:00:00,Laptops / Equipos,,CERRADO,Ana Torres,  luz esperanza valencia  ,202.14
TCK-1010,2026-06-13 16:00:00,2026-06-14 13:00:00,hardware,Alta,Resuelto,Ana Torres,Damaris Pabón,406.42
TCK-1011,2026-01-17 11:00:00,2026-01-18 08:00:00,Software,,CERRADO,Sofia Ramos,Antonio Bustamante López,0.0
TCK-1012,2026-04-28 10:00:00,,Software,Media,En Proceso,carlos mendoza,Marcela Paola Ángel Suárez,0.0
TCK-1013,2026-05-30 14:00:00,2026-05-31 16:00:00,Redes y Accesos,Media,CERRADO,Ana Torres,Yuliana Luz Reyes Monsalve,
TCK-1014,2026-01-13 09:00:00,2026-01-13 20:00:00,hardware,,Resuelto,Sofia Ramos,Ferney Rincón Pérez,204.69
TCK-1015,2026-04-30 16:00:00,,Laptops / Equipos,Alta,En Proceso,carlos mendoza,Laura Natalia Hoyos Núñez,347.22
TCK-1016,2026-03-10 13:00:00,2026-03-11 08:00:00,Impresoras,Media,Cerrado,Sofia Ramos,  miguel morales ballesteros  ,0.0
TCK-1017,2026-03-09 16:00:00,2026-03-11 01:00:00,Hardware,,Resuelto,Luis Gómez,Nicolás Gabriel Gil,263.68
TCK-1018,2026-04-06 10:00:00,2026-04-07 20:00:00,Hardware,Critical,CERRADO,Luis Gómez,María Luisa Vergara,73.7
TCK-1019,2026-03-20 11:00:00,2026-03-21 03:00:00,Laptops / Equipos,Alta,Cerrado,Carlos Mendoza,Mateo Castillo,411.69
TCK-1020,2026-05-17 10:00:00,2026-05-18 17:00:00,Laptops / Equipos,Media,Resuelto,Luis Gómez,Miguel Jaime Mercado Ramos,311.17
TCK-1021,2026-05-19 11:00:00,,Impresoras,,En Proceso,carlos mendoza,Johana Peña,0.0
TCK-1022,2026-04-26 09:00:00,2026-04-27 00:00:00,Hardware,Baja,Resuelto,Carlos Mendoza,Carlos Alexander Díaz Alzate,130.46
TCK-1023,2026-01-19 08:00:00,2026-01-19 13:00:00,Hardware,Baja,Resuelto,Carlos Mendoza,Leidy Bibiana Naranjo Jiménez,153.67
TCK-1024,2026-05-19 10:00:00,2026-05-20 17:00:00,Software,ALTA,CERRADO,Sofia Ramos,  martha marcela aguirre  ,
TCK-1025,2026-04-21 13:00:00,,Impresoras,ALTA,Abierto,carlos mendoza,  luz uribe torres  ,0.0
TCK-1026,2026-06-15 09:00:00,2026-06-16 11:00:00,SOFTWARE,Baja,Cerrado,Carlos Mendoza,Yurani Rojas,0.0
TCK-1027,2026-04-25 10:00:00,,Software,Baja,Abierto,Sofia Ramos,María Pinzón Aguirre,0.0
TCK-1028,2026-04-24 16:00:00,2026-04-24 20:00:00,SOFTWARE,Critical,Cerrado,Carlos Mendoza,Juan Diego Carmona,0.0
TCK-1029,2026-03-02 10:00:00,,Impresoras,ALTA,Abierto,Ana Torres,Paola Romero,0.0
TCK-1030,2026-02-12 14:00:00,2026-02-13 15:00:00,Redes y Accesos,ALTA,Cerrado,Luis Gómez,Yolanda Niño,0.0
TCK-1031,2026-05-23 15:00:00,2026-05-24 04:00:00,Redes y Accesos,Media,Resuelto,Carlos Mendoza,Lucía Santos Caicedo,0.0
TCK-1032,2026-03-22 08:00:00,2026-03-23 15:00:00,Laptops / Equipos,Critical,Cerrado,Ana Torres,  maría karen castro martínez  ,263.76
TCK-1033,2026-01-18 17:00:00,2026-01-19 09:00:00,Impresoras,Alta,Cerrado, Sin Asignar ,María Rojas Cabrera,0.0
TCK-1034,2026-06-08 09:00:00,,SOFTWARE,Critical,Abierto, Sin Asignar ,Deisy Marina Rueda Chacón,0.0
TCK-1035,2026-02-22 13:00:00,2026-02-23 06:00:00,Impresoras,Media,Resuelto,carlos mendoza,Clara Valencia,0.0
